ID,Keyword,Type,Category,City,Route,CPC (INR),Search Volume,Competition
2665,mussoorie car rental company,City-Specific,Service,Mussoorie,,₹120.17,Medium,Medium
2666,mussoorie sedan taxi,City-Specific,Service,Mussoorie,,₹136.99,Medium,Medium
2667,mussoorie suv rental,City-Specific,Service,Mussoorie,,₹116.13,Medium,Medium
2668,mussoorie hatchback cab,City-Specific,Service,Mussoorie,,₹112.79,Medium,Medium
2669,mussoorie innova taxi,City-Specific,Service,Mussoorie,,₹127.30,Medium,Medium
2670,mussoorie ertiga cab,City-Specific,Service,Mussoorie,,₹116.69,Medium,Medium
2671,mussoorie tempo traveller,City-Specific,Service,Mussoorie,,₹112.56,Medium,Medium
2672,mussoorie mini bus rental,City-Specific,Service,Mussoorie,,₹138.75,Medium,Medium
2673,mussoorie luxury car rental,City-Specific,Service,Mussoorie,,₹235.75,Medium,Medium
2674,mussoorie ac taxi,City-Specific,Service,Mussoorie,,₹135.04,Medium,Medium
2675,mussoorie 4 seater cab,City-Specific,Service,Mussoorie,,₹126.72,Medium,Medium
2676,mussoorie 6 seater cab,City-Specific,Service,Mussoorie,,₹128.73,Medium,Medium
2677,mussoorie 7 seater cab,City-Specific,Service,Mussoorie,,₹131.97,Medium,Medium
2678,mussoorie swift dzire,City-Specific,Service,Mussoorie,,₹117.99,Medium,Medium
2679,mussoorie honda city,City-Specific,Service,Mussoorie,,₹118.84,Medium,Medium
2680,mussoorie toyota etios,City-Specific,Service,Mussoorie,,₹116.13,Medium,Medium
2681,mussoorie airport taxi,City-Specific,Service,Mussoorie,,₹199.78,Medium,Medium
2682,mussoorie airport cab,City-Specific,Service,Mussoorie,,₹200.03,Medium,Medium
2683,mussoorie airport transfer,City-Specific,Service,Mussoorie,,₹191.72,Medium,Medium
2684,mussoorie airport pickup,City-Specific,Service,Mussoorie,,₹183.93,Medium,Medium
2685,mussoorie airport drop,City-Specific,Service,Mussoorie,,₹203.17,Medium,Medium
2686,mussoorie railway station taxi,City-Specific,Service,Mussoorie,,₹139.02,Medium,Medium
2687,mussoorie station pickup,City-Specific,Service,Mussoorie,,₹127.94,Medium,Medium
2688,mussoorie outstation taxi,City-Specific,Service,Mussoorie,,₹127.03,Medium,Medium
2689,mussoorie outstation cab,City-Specific,Service,Mussoorie,,₹123.22,Medium,Medium
2690,mussoorie local taxi,City-Specific,Service,Mussoorie,,₹118.17,Medium,Medium
2691,mussoorie local cab,City-Specific,Service,Mussoorie,,₹120.76,Medium,Medium
2692,mussoorie hourly rental,City-Specific,Service,Mussoorie,,₹125.81,Medium,Medium
2693,mussoorie full day taxi,City-Specific,Service,Mussoorie,,₹122.20,Medium,Medium
2694,mussoorie half day taxi,City-Specific,Service,Mussoorie,,₹131.56,Medium,Medium
2695,mussoorie intercity cab,City-Specific,Service,Mussoorie,,₹124.91,Medium,Medium
2696,mussoorie interstate taxi,City-Specific,Service,Mussoorie,,₹133.97,Medium,Medium
2697,mussoorie one way taxi,City-Specific,Service,Mussoorie,,₹121.45,Medium,Medium
2698,mussoorie round trip cab,City-Specific,Service,Mussoorie,,₹136.58,Medium,Medium
2699,mussoorie drop taxi service,City-Specific,Service,Mussoorie,,₹134.98,Medium,Medium
2700,mussoorie pickup service,City-Specific,Service,Mussoorie,,₹130.47,Medium,Medium
2701,mussoorie wedding taxi,City-Specific,Service,Mussoorie,,₹187.58,Medium,Medium
2702,mussoorie wedding car rental,City-Specific,Service,Mussoorie,,₹171.49,Medium,Medium
2703,mussoorie corporate taxi,City-Specific,Service,Mussoorie,,₹191.33,Medium,Medium
2704,mussoorie business cab,City-Specific,Service,Mussoorie,,₹194.17,Medium,Medium
2705,mussoorie tourist taxi,City-Specific,Service,Mussoorie,,₹113.93,Medium,Medium
2706,mussoorie sightseeing cab,City-Specific,Service,Mussoorie,,₹111.46,Medium,Medium
2707,mussoorie pilgrimage taxi,City-Specific,Service,Mussoorie,,₹120.23,Medium,Medium
2708,mussoorie family taxi,City-Specific,Service,Mussoorie,,₹123.33,Medium,Medium
2709,mussoorie group taxi,City-Specific,Service,Mussoorie,,₹135.98,Medium,Medium
2710,mussoorie honeymoon cab,City-Specific,Service,Mussoorie,,₹115.82,Medium,Medium
2711,mussoorie event taxi,City-Specific,Service,Mussoorie,,₹119.34,Medium,Medium
2712,mussoorie party cab,City-Specific,Service,Mussoorie,,₹139.76,Medium,Medium
2713,mussoorie conference taxi,City-Specific,Service,Mussoorie,,₹132.20,Medium,Medium
2714,mussoorie meeting cab,City-Specific,Service,Mussoorie,,₹117.27,Medium,Medium
2715,mussoorie tour taxi,City-Specific,Service,Mussoorie,,₹139.40,Medium,Medium
2716,mussoorie 24x7 taxi,City-Specific,Service,Mussoorie,,₹121.42,Medium,Medium
2717,mussoorie 24 hour cab,City-Specific,Service,Mussoorie,,₹122.68,Medium,Medium
2718,mussoorie night taxi,City-Specific,Service,Mussoorie,,₹136.39,Medium,Medium
2719,mussoorie late night cab,City-Specific,Service,Mussoorie,,₹139.36,Medium,Medium
2720,mussoorie early morning taxi,City-Specific,Service,Mussoorie,,₹129.03,Medium,Medium
2721,mussoorie weekend taxi,City-Specific,Service,Mussoorie,,₹137.99,Medium,Medium
2722,mussoorie holiday cab,City-Specific,Service,Mussoorie,,₹135.96,Medium,Medium
2723,mussoorie emergency taxi,City-Specific,Service,Mussoorie,,₹125.22,Medium,Medium
2724,mussoorie instant cab,City-Specific,Service,Mussoorie,,₹128.97,Medium,Medium
2725,mussoorie on demand taxi,City-Specific,Service,Mussoorie,,₹128.43,Medium,Medium
2726,mussoorie gps taxi,City-Specific,Service,Mussoorie,,₹122.89,Medium,Medium
2727,mussoorie ac cab,City-Specific,Service,Mussoorie,,₹124.33,Medium,Medium
2728,mussoorie sanitized taxi,City-Specific,Service,Mussoorie,,₹133.34,Medium,Medium
2729,mussoorie clean cab,City-Specific,Service,Mussoorie,,₹128.84,Medium,Medium
2730,mussoorie safe cab,City-Specific,Service,Mussoorie,,₹114.15,Medium,Medium
2731,mussoorie verified driver taxi,City-Specific,Service,Mussoorie,,₹136.91,Medium,Medium
2732,mussoorie professional driver cab,City-Specific,Service,Mussoorie,,₹130.19,Medium,Medium
2733,mussoorie lady driver taxi,City-Specific,Service,Mussoorie,,₹125.76,Medium,Medium
2734,mussoorie women safe cab,City-Specific,Service,Mussoorie,,₹128.00,Medium,Medium
2735,mussoorie comfortable taxi,City-Specific,Service,Mussoorie,,₹129.34,Medium,Medium
2736,mussoorie spacious cab,City-Specific,Service,Mussoorie,,₹129.31,Medium,Medium
2737,mussoorie music system car,City-Specific,Service,Mussoorie,,₹138.37,Medium,Medium
2738,mussoorie wifi car rental,City-Specific,Service,Mussoorie,,₹116.33,Medium,Medium
2739,mussoorie pet friendly taxi,City-Specific,Service,Mussoorie,,₹128.02,Medium,Medium
2740,mussoorie child seat taxi,City-Specific,Service,Mussoorie,,₹128.64,Medium,Medium
2741,mussoorie cheap taxi,City-Specific,Service,Mussoorie,,₹86.09,Medium,High
2742,mussoorie affordable cab,City-Specific,Service,Mussoorie,,₹100.03,Medium,Medium
2743,mussoorie budget taxi,City-Specific,Service,Mussoorie,,₹87.15,Medium,Medium
2744,mussoorie low cost cab,City-Specific,Service,Mussoorie,,₹132.67,Medium,Medium
2745,mussoorie economical taxi,City-Specific,Service,Mussoorie,,₹122.98,Medium,Medium
2746,mussoorie best price cab,City-Specific,Service,Mussoorie,,₹122.77,Medium,High
2747,mussoorie discount taxi,City-Specific,Service,Mussoorie,,₹124.44,Medium,Medium
2748,mussoorie offer cab,City-Specific,Service,Mussoorie,,₹139.54,Medium,Medium
2749,mussoorie competitive rates taxi,City-Specific,Service,Mussoorie,,₹112.46,Medium,Medium
2750,mussoorie value for money cab,City-Specific,Service,Mussoorie,,₹127.38,Medium,Medium
2751,mussoorie online taxi booking,City-Specific,Service,Mussoorie,,₹155.64,Medium,Medium
2752,mussoorie instant cab booking,City-Specific,Service,Mussoorie,,₹154.04,Medium,Medium
2753,mussoorie advance taxi reservation,City-Specific,Service,Mussoorie,,₹124.61,Medium,Medium
2754,mussoorie quick cab booking,City-Specific,Service,Mussoorie,,₹151.26,Medium,Medium
2755,mussoorie app taxi booking,City-Specific,Service,Mussoorie,,₹164.23,Medium,Medium
2756,mussoorie website cab booking,City-Specific,Service,Mussoorie,,₹150.83,Medium,Medium
2757,mussoorie phone taxi booking,City-Specific,Service,Mussoorie,,₹156.57,Medium,Medium
2758,mussoorie whatsapp cab booking,City-Specific,Service,Mussoorie,,₹158.03,Medium,Medium
2759,mussoorie easy taxi booking,City-Specific,Service,Mussoorie,,₹154.32,Medium,Medium
2760,mussoorie hassle free cab booking,City-Specific,Service,Mussoorie,,₹159.83,Medium,Medium
2761,delhi to agra taxi,Route-Specific,Route,Delhi,Delhi-Agra,₹178.50,High,High
2762,delhi to agra cab,Route-Specific,Route,Delhi,Delhi-Agra,₹163.89,High,High
2763,delhi to agra taxi service,Route-Specific,Route,Delhi,Delhi-Agra,₹169.97,High,High
2764,delhi to agra cab booking,Route-Specific,Route,Delhi,Delhi-Agra,₹203.20,High,High
2765,delhi to agra car rental,Route-Specific,Route,Delhi,Delhi-Agra,₹161.52,High,High
2766,delhi to agra one way taxi,Route-Specific,Route,Delhi,Delhi-Agra,₹167.45,High,High
2767,delhi to agra round trip,Route-Specific,Route,Delhi,Delhi-Agra,₹179.64,High,High
2768,delhi to agra cab fare,Route-Specific,Route,Delhi,Delhi-Agra,₹153.38,High,High
2769,delhi to agra taxi price,Route-Specific,Route,Delhi,Delhi-Agra,₹167.03,High,High
2770,delhi to agra cheapest cab,Route-Specific,Route,Delhi,Delhi-Agra,₹128.50,High,High
2771,delhi to agra best taxi,Route-Specific,Route,Delhi,Delhi-Agra,₹165.96,High,High
2772,delhi to agra online booking,Route-Specific,Route,Delhi,Delhi-Agra,₹186.06,High,High
2773,delhi agra taxi,Route-Specific,Route,Delhi,Delhi-Agra,₹157.58,High,High
2774,taxi from delhi to agra,Route-Specific,Route,Delhi,Delhi-Agra,₹156.36,High,High
2775,cab from delhi to agra,Route-Specific,Route,Delhi,Delhi-Agra,₹176.91,High,High
2776,book delhi to agra taxi,Route-Specific,Route,Delhi,Delhi-Agra,₹200.48,High,High
2777,delhi to agra car hire,Route-Specific,Route,Delhi,Delhi-Agra,₹155.92,High,High
2778,delhi to agra taxi rental,Route-Specific,Route,Delhi,Delhi-Agra,₹160.41,High,High
2779,delhi to agra cab hire,Route-Specific,Route,Delhi,Delhi-Agra,₹177.06,High,High
2780,delhi to agra drop,Route-Specific,Route,Delhi,Delhi-Agra,₹164.14,High,High
2781,delhi to agra sedan,Route-Specific,Route,Delhi,Delhi-Agra,₹163.40,High,High
2782,delhi to agra suv,Route-Specific,Route,Delhi,Delhi-Agra,₹161.78,High,High
2783,delhi to agra innova,Route-Specific,Route,Delhi,Delhi-Agra,₹161.57,High,High
2784,delhi to agra ertiga,Route-Specific,Route,Delhi,Delhi-Agra,₹153.18,High,High
2785,delhi to agra tempo traveller,Route-Specific,Route,Delhi,Delhi-Agra,₹156.12,High,High
2786,delhi to agra ac taxi,Route-Specific,Route,Delhi,Delhi-Agra,₹167.37,High,High
2787,delhi to agra luxury cab,Route-Specific,Route,Delhi,Delhi-Agra,₹285.61,High,High
2788,delhi to agra budget taxi,Route-Specific,Route,Delhi,Delhi-Agra,₹154.48,High,High
2789,delhi to agra hatchback,Route-Specific,Route,Delhi,Delhi-Agra,₹165.77,High,High
2790,delhi to agra mini bus,Route-Specific,Route,Delhi,Delhi-Agra,₹156.03,High,High
2791,delhi to agra same day return,Route-Specific,Route,Delhi,Delhi-Agra,₹162.51,High,High
2792,delhi to agra drop taxi,Route-Specific,Route,Delhi,Delhi-Agra,₹152.50,High,High
2793,delhi to agra pickup service,Route-Specific,Route,Delhi,Delhi-Agra,₹167.73,High,High
2794,delhi to agra door to door,Route-Specific,Route,Delhi,Delhi-Agra,₹161.11,High,High
2795,delhi to agra non stop taxi,Route-Specific,Route,Delhi,Delhi-Agra,₹163.69,High,High
2796,delhi to agra express cab,Route-Specific,Route,Delhi,Delhi-Agra,₹161.88,High,High
2797,delhi to agra comfortable ride,Route-Specific,Route,Delhi,Delhi-Agra,₹158.57,High,High
2798,delhi to agra safe journey,Route-Specific,Route,Delhi,Delhi-Agra,₹157.04,High,High
2799,delhi to agra hassle free taxi,Route-Specific,Route,Delhi,Delhi-Agra,₹165.53,High,High
2800,delhi to agra reliable cab,Route-Specific,Route,Delhi,Delhi-Agra,₹177.85,High,High
2801,delhi to agra fare,Route-Specific,Route,Delhi,Delhi-Agra,₹177.89,High,High
2802,delhi to agra price,Route-Specific,Route,Delhi,Delhi-Agra,₹162.83,High,High
2803,delhi to agra cost,Route-Specific,Route,Delhi,Delhi-Agra,₹162.89,High,High
2804,delhi to agra charges,Route-Specific,Route,Delhi,Delhi-Agra,₹150.04,High,High
2805,delhi to agra rate,Route-Specific,Route,Delhi,Delhi-Agra,₹165.77,High,High
2806,delhi to agra cheap taxi,Route-Specific,Route,Delhi,Delhi-Agra,₹138.33,High,High
2807,delhi to agra best price,Route-Specific,Route,Delhi,Delhi-Agra,₹155.99,High,High
2808,delhi to agra lowest fare,Route-Specific,Route,Delhi,Delhi-Agra,₹167.46,High,High
2809,delhi to agra economical taxi,Route-Specific,Route,Delhi,Delhi-Agra,₹159.24,High,High
2810,delhi to agra affordable cab,Route-Specific,Route,Delhi,Delhi-Agra,₹137.29,High,High
2811,delhi to jaipur taxi,Route-Specific,Route,Delhi,Delhi-Jaipur,₹156.25,High,High
2812,delhi to jaipur cab,Route-Specific,Route,Delhi,Delhi-Jaipur,₹168.11,High,High
2813,delhi to jaipur taxi service,Route-Specific,Route,Delhi,Delhi-Jaipur,₹152.60,High,High
2814,delhi to jaipur cab booking,Route-Specific,Route,Delhi,Delhi-Jaipur,₹214.77,High,High
2815,delhi to jaipur car rental,Route-Specific,Route,Delhi,Delhi-Jaipur,₹171.02,High,High
2816,delhi to jaipur one way taxi,Route-Specific,Route,Delhi,Delhi-Jaipur,₹165.10,High,High
2817,delhi to jaipur round trip,Route-Specific,Route,Delhi,Delhi-Jaipur,₹168.66,High,High
2818,delhi to jaipur cab fare,Route-Specific,Route,Delhi,Delhi-Jaipur,₹150.38,High,High
2819,delhi to jaipur taxi price,Route-Specific,Route,Delhi,Delhi-Jaipur,₹151.83,High,High
2820,delhi to jaipur cheapest cab,Route-Specific,Route,Delhi,Delhi-Jaipur,₹131.69,High,High
2821,delhi to jaipur best taxi,Route-Specific,Route,Delhi,Delhi-Jaipur,₹152.89,High,High
2822,delhi to jaipur online booking,Route-Specific,Route,Delhi,Delhi-Jaipur,₹205.61,High,High
2823,delhi jaipur taxi,Route-Specific,Route,Delhi,Delhi-Jaipur,₹172.13,High,High
2824,taxi from delhi to jaipur,Route-Specific,Route,Delhi,Delhi-Jaipur,₹176.62,High,High
2825,cab from delhi to jaipur,Route-Specific,Route,Delhi,Delhi-Jaipur,₹171.75,High,High
2826,book delhi to jaipur taxi,Route-Specific,Route,Delhi,Delhi-Jaipur,₹202.17,High,High
2827,delhi to jaipur car hire,Route-Specific,Route,Delhi,Delhi-Jaipur,₹159.28,High,High
2828,delhi to jaipur taxi rental,Route-Specific,Route,Delhi,Delhi-Jaipur,₹151.40,High,High
2829,delhi to jaipur cab hire,Route-Specific,Route,Delhi,Delhi-Jaipur,₹170.63,High,High
2830,delhi to jaipur drop,Route-Specific,Route,Delhi,Delhi-Jaipur,₹172.36,High,High
2831,delhi to jaipur sedan,Route-Specific,Route,Delhi,Delhi-Jaipur,₹153.16,High,High
2832,delhi to jaipur suv,Route-Specific,Route,Delhi,Delhi-Jaipur,₹179.32,High,High
2833,delhi to jaipur innova,Route-Specific,Route,Delhi,Delhi-Jaipur,₹165.15,High,High
2834,delhi to jaipur ertiga,Route-Specific,Route,Delhi,Delhi-Jaipur,₹153.25,High,High
2835,delhi to jaipur tempo traveller,Route-Specific,Route,Delhi,Delhi-Jaipur,₹151.10,High,High
2836,delhi to jaipur ac taxi,Route-Specific,Route,Delhi,Delhi-Jaipur,₹162.65,High,High
2837,delhi to jaipur luxury cab,Route-Specific,Route,Delhi,Delhi-Jaipur,₹282.80,High,High
2838,delhi to jaipur budget taxi,Route-Specific,Route,Delhi,Delhi-Jaipur,₹146.54,High,High
2839,delhi to jaipur hatchback,Route-Specific,Route,Delhi,Delhi-Jaipur,₹170.27,High,High
2840,delhi to jaipur mini bus,Route-Specific,Route,Delhi,Delhi-Jaipur,₹158.25,High,High
2841,delhi to jaipur same day return,Route-Specific,Route,Delhi,Delhi-Jaipur,₹166.48,High,High
2842,delhi to jaipur drop taxi,Route-Specific,Route,Delhi,Delhi-Jaipur,₹175.74,High,High
2843,delhi to jaipur pickup service,Route-Specific,Route,Delhi,Delhi-Jaipur,₹162.22,High,High
2844,delhi to jaipur door to door,Route-Specific,Route,Delhi,Delhi-Jaipur,₹168.32,High,High
2845,delhi to jaipur non stop taxi,Route-Specific,Route,Delhi,Delhi-Jaipur,₹151.96,High,High
2846,delhi to jaipur express cab,Route-Specific,Route,Delhi,Delhi-Jaipur,₹160.13,High,High
2847,delhi to jaipur comfortable ride,Route-Specific,Route,Delhi,Delhi-Jaipur,₹150.73,High,High
2848,delhi to jaipur safe journey,Route-Specific,Route,Delhi,Delhi-Jaipur,₹174.22,High,High
2849,delhi to jaipur hassle free taxi,Route-Specific,Route,Delhi,Delhi-Jaipur,₹170.57,High,High
2850,delhi to jaipur reliable cab,Route-Specific,Route,Delhi,Delhi-Jaipur,₹152.84,High,High
2851,delhi to jaipur fare,Route-Specific,Route,Delhi,Delhi-Jaipur,₹153.50,High,High
2852,delhi to jaipur price,Route-Specific,Route,Delhi,Delhi-Jaipur,₹179.36,High,High
2853,delhi to jaipur cost,Route-Specific,Route,Delhi,Delhi-Jaipur,₹179.79,High,High
2854,delhi to jaipur charges,Route-Specific,Route,Delhi,Delhi-Jaipur,₹161.99,High,High
2855,delhi to jaipur rate,Route-Specific,Route,Delhi,Delhi-Jaipur,₹170.94,High,High
2856,delhi to jaipur cheap taxi,Route-Specific,Route,Delhi,Delhi-Jaipur,₹149.08,High,High
2857,delhi to jaipur best price,Route-Specific,Route,Delhi,Delhi-Jaipur,₹165.90,High,High
2858,delhi to jaipur lowest fare,Route-Specific,Route,Delhi,Delhi-Jaipur,₹162.05,High,High
2859,delhi to jaipur economical taxi,Route-Specific,Route,Delhi,Delhi-Jaipur,₹179.28,High,High
2860,delhi to jaipur affordable cab,Route-Specific,Route,Delhi,Delhi-Jaipur,₹148.28,High,High
2861,delhi to haridwar taxi,Route-Specific,Route,Delhi,Delhi-Haridwar,₹167.81,High,High
2862,delhi to haridwar cab,Route-Specific,Route,Delhi,Delhi-Haridwar,₹171.28,High,High
2863,delhi to haridwar taxi service,Route-Specific,Route,Delhi,Delhi-Haridwar,₹172.19,High,High
2864,delhi to haridwar cab booking,Route-Specific,Route,Delhi,Delhi-Haridwar,₹204.06,High,High
2865,delhi to haridwar car rental,Route-Specific,Route,Delhi,Delhi-Haridwar,₹167.08,High,High
2866,delhi to haridwar one way taxi,Route-Specific,Route,Delhi,Delhi-Haridwar,₹173.94,High,High
2867,delhi to haridwar round trip,Route-Specific,Route,Delhi,Delhi-Haridwar,₹156.21,High,High
2868,delhi to haridwar cab fare,Route-Specific,Route,Delhi,Delhi-Haridwar,₹151.47,High,High
2869,delhi to haridwar taxi price,Route-Specific,Route,Delhi,Delhi-Haridwar,₹174.88,High,High
2870,delhi to haridwar cheapest cab,Route-Specific,Route,Delhi,Delhi-Haridwar,₹142.43,High,High
2871,delhi to haridwar best taxi,Route-Specific,Route,Delhi,Delhi-Haridwar,₹176.40,High,High
2872,delhi to haridwar online booking,Route-Specific,Route,Delhi,Delhi-Haridwar,₹214.78,High,High
2873,delhi haridwar taxi,Route-Specific,Route,Delhi,Delhi-Haridwar,₹174.82,High,High
2874,taxi from delhi to haridwar,Route-Specific,Route,Delhi,Delhi-Haridwar,₹153.75,High,High
2875,cab from delhi to haridwar,Route-Specific,Route,Delhi,Delhi-Haridwar,₹155.51,High,High
2876,book delhi to haridwar taxi,Route-Specific,Route,Delhi,Delhi-Haridwar,₹204.36,High,High
2877,delhi to haridwar car hire,Route-Specific,Route,Delhi,Delhi-Haridwar,₹161.26,High,High
2878,delhi to haridwar taxi rental,Route-Specific,Route,Delhi,Delhi-Haridwar,₹155.59,High,High
2879,delhi to haridwar cab hire,Route-Specific,Route,Delhi,Delhi-Haridwar,₹159.52,High,High
2880,delhi to haridwar drop,Route-Specific,Route,Delhi,Delhi-Haridwar,₹154.88,High,High
2881,delhi to haridwar sedan,Route-Specific,Route,Delhi,Delhi-Haridwar,₹163.13,High,High
2882,delhi to haridwar suv,Route-Specific,Route,Delhi,Delhi-Haridwar,₹177.20,High,High
2883,delhi to haridwar innova,Route-Specific,Route,Delhi,Delhi-Haridwar,₹166.79,High,High
2884,delhi to haridwar ertiga,Route-Specific,Route,Delhi,Delhi-Haridwar,₹179.44,High,High
2885,delhi to haridwar tempo traveller,Route-Specific,Route,Delhi,Delhi-Haridwar,₹163.87,High,High
2886,delhi to haridwar ac taxi,Route-Specific,Route,Delhi,Delhi-Haridwar,₹151.06,High,High
2887,delhi to haridwar luxury cab,Route-Specific,Route,Delhi,Delhi-Haridwar,₹287.91,High,High
2888,delhi to haridwar budget taxi,Route-Specific,Route,Delhi,Delhi-Haridwar,₹154.28,High,High
2889,delhi to haridwar hatchback,Route-Specific,Route,Delhi,Delhi-Haridwar,₹168.48,High,High
2890,delhi to haridwar mini bus,Route-Specific,Route,Delhi,Delhi-Haridwar,₹157.13,High,High
2891,delhi to haridwar same day return,Route-Specific,Route,Delhi,Delhi-Haridwar,₹161.64,High,High
2892,delhi to haridwar drop taxi,Route-Specific,Route,Delhi,Delhi-Haridwar,₹150.56,High,High
2893,delhi to haridwar pickup service,Route-Specific,Route,Delhi,Delhi-Haridwar,₹176.06,High,High
2894,delhi to haridwar door to door,Route-Specific,Route,Delhi,Delhi-Haridwar,₹158.24,High,High
2895,delhi to haridwar non stop taxi,Route-Specific,Route,Delhi,Delhi-Haridwar,₹165.11,High,High
2896,delhi to haridwar express cab,Route-Specific,Route,Delhi,Delhi-Haridwar,₹171.24,High,High
2897,delhi to haridwar comfortable ride,Route-Specific,Route,Delhi,Delhi-Haridwar,₹150.60,High,High
2898,delhi to haridwar safe journey,Route-Specific,Route,Delhi,Delhi-Haridwar,₹166.03,High,High
2899,delhi to haridwar hassle free taxi,Route-Specific,Route,Delhi,Delhi-Haridwar,₹175.86,High,High
2900,delhi to haridwar reliable cab,Route-Specific,Route,Delhi,Delhi-Haridwar,₹179.32,High,High
2901,delhi to haridwar fare,Route-Specific,Route,Delhi,Delhi-Haridwar,₹160.46,High,High
2902,delhi to haridwar price,Route-Specific,Route,Delhi,Delhi-Haridwar,₹172.60,High,High
2903,delhi to haridwar cost,Route-Specific,Route,Delhi,Delhi-Haridwar,₹155.74,High,High
2904,delhi to haridwar charges,Route-Specific,Route,Delhi,Delhi-Haridwar,₹172.85,High,High
2905,delhi to haridwar rate,Route-Specific,Route,Delhi,Delhi-Haridwar,₹166.99,High,High
2906,delhi to haridwar cheap taxi,Route-Specific,Route,Delhi,Delhi-Haridwar,₹144.37,High,High
2907,delhi to haridwar best price,Route-Specific,Route,Delhi,Delhi-Haridwar,₹157.97,High,High
2908,delhi to haridwar lowest fare,Route-Specific,Route,Delhi,Delhi-Haridwar,₹166.35,High,High
2909,delhi to haridwar economical taxi,Route-Specific,Route,Delhi,Delhi-Haridwar,₹153.76,High,High
2910,delhi to haridwar affordable cab,Route-Specific,Route,Delhi,Delhi-Haridwar,₹150.69,High,High
2911,delhi to chandigarh taxi,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹162.21,High,High
2912,delhi to chandigarh cab,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹156.88,High,High
2913,delhi to chandigarh taxi service,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹153.53,High,High
2914,delhi to chandigarh cab booking,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹190.81,High,High
2915,delhi to chandigarh car rental,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹161.30,High,High
2916,delhi to chandigarh one way taxi,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹160.19,High,High
2917,delhi to chandigarh round trip,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹179.33,High,High
2918,delhi to chandigarh cab fare,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹172.82,High,High
2919,delhi to chandigarh taxi price,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹167.62,High,High
2920,delhi to chandigarh cheapest cab,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹145.92,High,High
2921,delhi to chandigarh best taxi,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹166.44,High,High
2922,delhi to chandigarh online booking,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹186.81,High,High
2923,delhi chandigarh taxi,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹156.92,High,High
2924,taxi from delhi to chandigarh,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹175.54,High,High
2925,cab from delhi to chandigarh,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹168.08,High,High
2926,book delhi to chandigarh taxi,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹185.04,High,High
2927,delhi to chandigarh car hire,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹179.40,High,High
2928,delhi to chandigarh taxi rental,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹159.46,High,High
2929,delhi to chandigarh cab hire,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹151.42,High,High
2930,delhi to chandigarh drop,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹171.78,High,High
2931,delhi to chandigarh sedan,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹163.41,High,High
2932,delhi to chandigarh suv,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹168.85,High,High
2933,delhi to chandigarh innova,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹163.11,High,High
2934,delhi to chandigarh ertiga,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹176.50,High,High
2935,delhi to chandigarh tempo traveller,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹175.49,High,High
2936,delhi to chandigarh ac taxi,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹153.03,High,High
2937,delhi to chandigarh luxury cab,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹279.12,High,High
2938,delhi to chandigarh budget taxi,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹130.38,High,High
2939,delhi to chandigarh hatchback,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹175.57,High,High
2940,delhi to chandigarh mini bus,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹177.66,High,High
2941,delhi to chandigarh same day return,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹154.13,High,High
2942,delhi to chandigarh drop taxi,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹177.19,High,High
2943,delhi to chandigarh pickup service,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹173.33,High,High
2944,delhi to chandigarh door to door,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹178.71,High,High
2945,delhi to chandigarh non stop taxi,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹155.22,High,High
2946,delhi to chandigarh express cab,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹174.53,High,High
2947,delhi to chandigarh comfortable ride,Route-Specific,Route,Delhi,Delhi-Chandigarh,₹178.75,High,High
